;;;;Levy
;;;;Agents = 10
Food Count;Alpha = 1,0;Alpha = 2,0;;FoodSize = 40
1.0;73;38;;
2.0;274;81;;One eatPA
3.0;394;60;;Life
4.0;226;111;;LifeSize
5.0;270;124;;CrossFood
6.0;341;97;;
7.0;318;133;;
8.0;330;84;;
9.0;266;179;;
10.0;346;107;;
11.0;459;137;;
12.0;424;120;;
13.0;355;176;;
14.0;436;122;;
15.0;408;134;;
16.0;463;172;;
17.0;610;140;;
18.0;522;153;;
19.0;385;218;;
20.0;441;164;;
21.0;405;165;;
22.0;385;161;;
23.0;375;175;;
24.0;490;188;;
25.0;533;193;;
26.0;490;194;;
27.0;355;187;;
28.0;621;190;;
29.0;441;268;;
30.0;629;222;;
31.0;465;226;;
32.0;660;162;;
33.0;529;194;;
34.0;487;179;;
35.0;523;177;;
36.0;669;231;;
37.0;675;181;;
38.0;630;215;;
39.0;520;168;;
40.0;567;130;;
41.0;585;200;;
42.0;597;148;;
43.0;696;210;;
44.0;592;240;;
45.0;448;206;;
46.0;523;194;;
47.0;571;238;;
48.0;530;203;;
49.0;552;176;;
50.0;677;205;;
51.0;566;207;;
52.0;654;279;;
53.0;600;220;;
54.0;676;232;;
55.0;514;188;;
56.0;496;184;;
57.0;588;260;;
58.0;688;259;;
59.0;697;203;;
60.0;609;208;;
61.0;548;220;;
62.0;499;203;;
63.0;539;184;;
64.0;597;261;;
65.0;635;238;;
66.0;679;209;;
67.0;619;238;;
68.0;526;220;;
69.0;523;215;;
70.0;685;260;;
71.0;648;199;;
72.0;520;176;;
73.0;669;229;;
74.0;698;207;;
75.0;644;166;;
76.0;663;216;;
77.0;587;236;;
78.0;573;241;;
79.0;621;192;;
80.0;517;244;;
81.0;679;187;;
82.0;627;210;;
83.0;624;225;;
84.0;600;254;;
85.0;660;257;;
86.0;655;252;;
87.0;700;261;;
88.0;546;219;;
89.0;590;240;;
90.0;661;202;;
91.0;774;220;;
92.0;600;205;;
93.0;527;247;;
94.0;668;268;;
95.0;683;197;;
96.0;627;224;;
97.0;739;224;;
98.0;683;208;;
99.0;685;207;;
100.0;575;225;;
101.0;573;214;;
